cluster,size,seed,type,type_info,tree_name
0,38,AAQ04822.2,II/Unknown,"II: 37, Unknown: 1",II/Unknown.11
1,54,WP_106857372.1,I-CD,,I-CD.158
2,115,RWP03589.1,I-CD,,I-CD.125
3,16578,QHN53519.1,Ambiguous,"I-Eukaryotes: 14300, Unknown: 2268, I-B: 10",Ambiguous.1
4,1724,BBE28301.1,Ambiguous,"I-Eukaryotes: 1600, Unknown: 115, I-CD: 9",Ambiguous.16
5,1,MBA2307819.1,I-E,,I-E.52
6,68,WP_090906153.1,I-CD/Unknown,"I-CD: 67, Unknown: 1",I-CD/Unknown.7
7,877,P24313.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 772, Unknown: 105",I-Eukaryotes/Unknown.74
8,2955,AFY11996.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 2627, Unknown: 328",I-Eukaryotes/Unknown.24
9,29,WP_120443319.1,I-CD,,I-CD.7
10,59,WP_024579684.1,I-CD/Unknown,"I-CD: 58, Unknown: 1",I-CD/Unknown.5
11,61,AAF25379.1,I-CD/Unknown,"I-CD: 60, Unknown: 1",I-CD/Unknown.6
12,8,MBB1557554.1,Unknown,,Unknown.620
13,86,TIS65061.1,I-CD/Unknown,"I-CD: 85, Unknown: 1",I-CD/Unknown.2
14,15,TARA_132.SAMEA2623079.115.0.22-3_1359923_10,I-CD/Unknown,"I-CD: 13, Unknown: 2",I-CD/Unknown.10
15,10,WP_088215376.1,I-CD,,I-CD.16
16,40,WP_190862881.1,I-E,,I-E.29
17,1068,ABI52483.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 923, Unknown: 145",I-Eukaryotes/Unknown.46
18,23,WP_016329934.1,I-Unclassified,,I-Unclassified.12
19,18,WP_078540934.1,I-A,,I-A.23
20,11,MBE0453532.1,I-A/Unknown,"I-A: 10, Unknown: 1",I-A/Unknown.2
21,196,WP_015168382.1,I-B/Unknown,"I-B: 194, Unknown: 2",I-B/Unknown.1
22,9,WP_036492453.1,I-E,,I-E.23
23,288,TARA_123.SAMEA2622715.5.0.22-0.45_1855589_24,Ambiguous,"I-Eukaryotes: 238, I-B: 41, Unknown: 9",Ambiguous.31
24,8,WP_013037391.1,Unknown,,Unknown.687
25,846,QBQ84315.1,Ambiguous,"I-Eukaryotes: 581, Unknown: 259, I-B: 6",Ambiguous.5
26,117,WP_067105558.1,I-A,,I-A.47
27,119,WP_043756787.1,I-A,,I-A.9
28,195,TARA_009.SAMEA2619531.5.0.22-1.6_1339512_13,Ambiguous,"I-A: 186, Unknown: 6, I-Eukaryotes: 3",Ambiguous.34
29,9,MAW25901.1,I-A/Unknown,"I-A: 7, Unknown: 2",I-A/Unknown.7
30,28,QGJ83698.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 24, Unknown: 4",I-Eukaryotes/Unknown.104
31,53,AFF60656.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 52, Unknown: 1",I-Eukaryotes/Unknown.26
32,8,WP_043107373.1,Unknown,,Unknown.929
33,4,VDD89010.1,III/Unknown,"III: 3, Unknown: 1",III/Unknown.23
34,1,NCF14810.1,Unknown,,Unknown.819
35,22,WP_156052524.1,II/Unknown,"Unknown: 19, II: 3",II/Unknown.7
36,1,HED16137.1,Unknown,,Unknown.911
37,2,WP_132950164.1,Unknown,,Unknown.905
38,19,OYY45669.1,II/Unknown,"Unknown: 18, II: 1",II/Unknown.5
39,2,NQV46425.1,Unknown,,Unknown.810
40,3,MBC8493157.1,Unknown,,Unknown.955
41,82,ABU79774.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 69, Unknown: 13",I-Eukaryotes/Unknown.102
42,1,RRD94150.1,IV-Ykr-2,,IV-Ykr-2.42
43,4,WP_021133537.1,Unknown,,Unknown.828
44,1,NHI94319.1,IV-Ykr-2,,IV-Ykr-2.143
45,124,YP_009526526.1,I-Eukaryotes/Unknown,"Unknown: 74, I-Eukaryotes: 50",I-Eukaryotes/Unknown.124
46,3,BBU20766.1,I-E,,I-E.53
47,3,WP_176229643.1,IV-Ykr-2,,IV-Ykr-2.125
