cluster,size,seed,annotation_preliminary,type_info,tree_name,annotation
0,38,AAQ04822.2,II/Unknown,"II: 37, Unknown: 1",II/Unknown.11,II
1,54,WP_106857372.1,I-CD,,I-CD.158,I-CD2
2,115,RWP03589.1,I-CD,,I-CD.125,I-CD2
3,16578,QHN53519.1,Ambiguous,"I-Eukaryotes: 14300, Unknown: 2268, I-B: 10",Ambiguous.1,I-CD1
4,1724,BBE28301.1,Ambiguous,"I-Eukaryotes: 1600, Unknown: 115, I-CD: 9",Ambiguous.16,I-CD2
5,1,MBA2307819.1,I-E,,I-E.52,I-CD2
6,68,WP_090906153.1,I-CD/Unknown,"I-CD: 67, Unknown: 1",I-CD/Unknown.7,I-CD2
7,877,P24313.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 772, Unknown: 105",I-Eukaryotes/Unknown.74,I-CD2
8,2955,AFY11996.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 2627, Unknown: 328",I-Eukaryotes/Unknown.24,I-CD2
9,29,WP_120443319.1,I-CD,,I-CD.7,I-CD2
10,59,WP_024579684.1,I-CD/Unknown,"I-CD: 58, Unknown: 1",I-CD/Unknown.5,I-CD2
11,61,AAF25379.1,I-CD/Unknown,"I-CD: 60, Unknown: 1",I-CD/Unknown.6,I-CD2
12,8,MBB1557554.1,Unknown,,Unknown.620,II-III
13,86,TIS65061.1,I-CD/Unknown,"I-CD: 85, Unknown: 1",I-CD/Unknown.2,I-CD2
14,15,TARA_132.SAMEA2623079.115.0.22-3_1359923_10,I-CD/Unknown,"I-CD: 13, Unknown: 2",I-CD/Unknown.10,I-CD2
15,10,WP_088215376.1,I-CD,,I-CD.16,I-CD2
16,40,WP_190862881.1,I-E,,I-E.29,I-CD2
17,1068,ABI52483.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 923, Unknown: 145",I-Eukaryotes/Unknown.46,I-CD2
18,23,WP_016329934.1,I-Unclassified,,I-Unclassified.12,I-CD2
19,18,WP_078540934.1,I-A,,I-A.23,I-A
20,11,MBE0453532.1,I-A/Unknown,"I-A: 10, Unknown: 1",I-A/Unknown.2,I-A
21,196,WP_015168382.1,I-B/Unknown,"I-B: 194, Unknown: 2",I-B/Unknown.1,I-B
22,9,WP_036492453.1,I-E,,I-E.23,I-CD2
23,288,TARA_123.SAMEA2622715.5.0.22-0.45_1855589_24,Ambiguous,"I-Eukaryotes: 238, I-B: 41, Unknown: 9",Ambiguous.31,I-CD1
24,8,WP_013037391.1,Unknown,,Unknown.687,II-III
25,846,QBQ84315.1,Ambiguous,"I-Eukaryotes: 581, Unknown: 259, I-B: 6",Ambiguous.5,I-CD1
26,117,WP_067105558.1,I-A,,I-A.47,I-A
27,119,WP_043756787.1,I-A,,I-A.9,I-A
28,195,TARA_009.SAMEA2619531.5.0.22-1.6_1339512_13,Ambiguous,"I-A: 186, Unknown: 6, I-Eukaryotes: 3",Ambiguous.34,I-A
29,9,MAW25901.1,I-A/Unknown,"I-A: 7, Unknown: 2",I-A/Unknown.7,I-A
30,28,QGJ83698.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 24, Unknown: 4",I-Eukaryotes/Unknown.104,I-CD2
31,53,AFF60656.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 52, Unknown: 1",I-Eukaryotes/Unknown.26,I-CD2
32,8,WP_043107373.1,Unknown,,Unknown.929,II
33,4,VDD89010.1,III/Unknown,"III: 3, Unknown: 1",III/Unknown.23,III
34,1,NCF14810.1,Unknown,,Unknown.819,II
35,22,WP_156052524.1,II/Unknown,"Unknown: 19, II: 3",II/Unknown.7,II
36,1,HED16137.1,Unknown,,Unknown.911,II
37,2,WP_132950164.1,Unknown,,Unknown.905,II
38,19,OYY45669.1,II/Unknown,"Unknown: 18, II: 1",II/Unknown.5,II
39,2,NQV46425.1,Unknown,,Unknown.810,II
40,3,MBC8493157.1,Unknown,,Unknown.955,II
41,82,ABU79774.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 69, Unknown: 13",I-Eukaryotes/Unknown.102,I-CD2
42,1,RRD94150.1,IV-Ykr-2,,IV-Ykr-2.42,IV-Ykr-2
43,4,WP_021133537.1,Unknown,,Unknown.828,II
44,1,NHI94319.1,IV-Ykr-2,,IV-Ykr-2.143,IV-Ykr-2
45,124,YP_009526526.1,I-Eukaryotes/Unknown,"Unknown: 74, I-Eukaryotes: 50",I-Eukaryotes/Unknown.124,I-CD1
46,3,BBU20766.1,I-E,,I-E.53,I-CD2
47,3,WP_176229643.1,IV-Ykr-2,,IV-Ykr-2.125,IV-Ykr-2
48,2881,QBK17190.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 2480, Unknown: 401",I-Eukaryotes/Unknown.119,I-CD1
49,7,WP_088865093.1,Unknown,,Unknown.424,III
50,3,WP_167885756.1,Unknown,,Unknown.410,III
51,1,TFH33364.1,IV-Ykr-2,,IV-Ykr-2.147,IV-Ykr-2
52,1,VDD89155.1,III,,III.52,III
53,2,NLM88879.1,IV-Ykr-2,,IV-Ykr-2.49,IV-Ykr-2
54,1,cg1_0.2_scaffold_2874_c_10,IV-Ykr-2,,IV-Ykr-2.10,IV-Ykr-2
55,1,WP_011661875.1,IV-Photo,,IV-Photo.89,IV-Photo
56,5,NHW23919.1,Unknown,,Unknown.419,III
57,4,WP_092129866.1,IV-Non-photo,,IV-Non-photo.404,IV-NonPhoto
58,171,QID57536.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 166, Unknown: 5",I-Eukaryotes/Unknown.41,I-CD2
59,25,WP_056562289.1,IV-Non-photo,,IV-Non-photo.396,IV-NonPhoto
60,31,WP_063588917.1,IV-Non-photo/Unknown,"IV-Non-photo: 30, Unknown: 1",IV-Non-photo/Unknown.5,IV-NonPhoto
61,1,VVB56857.1,Unknown,,Unknown.452,Unknown
62,1,WP_188907706.1,IV-Non-photo,,IV-Non-photo.775,IV-NonPhoto
63,3,WP_094048765.1,IV-NG1,,IV-NG1.64,IV-NG1
64,10,WP_045299764.1,IV-NG2,,IV-NG2.38,IV-NG2
65,1,WP_110032519.1,IV-Non-photo,,IV-Non-photo.645,IV-NonPhoto
66,11,WP_144811339.1,IV-Non-photo,,IV-Non-photo.93,IV-NonPhoto
67,1,NYT80693.1,IV-Non-photo,,IV-Non-photo.113,IV-NonPhoto
68,1,WP_149871945.1,IV-NG1,,IV-NG1.8,IV-NG1
69,1,WP_161349777.1,IV-Non-photo,,IV-Non-photo.330,IV-NonPhoto
70,1,WP_150864205.1,IV-Non-photo,,IV-Non-photo.259,IV-NonPhoto
71,1,WP_188530592.1,IV-NG1,,IV-NG1.26,IV-NG1
72,2,WP_130495683.1,IV-NG2,,IV-NG2.39,IV-NG2
73,488,AIS84188.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 432, Unknown: 56",I-Eukaryotes/Unknown.22,I-CD1
74,3,WP_028522251.1,IV-Non-photo,,IV-Non-photo.443,IV-NonPhoto
75,4,WP_076337452.1,IV-NG1,,IV-NG1.19,IV-NG1
76,211,WP_183781633.1,IV-Non-photo,,IV-Non-photo.621,IV-NonPhoto
77,63,ATG33831.1,Ambiguous,"I-Eukaryotes: 56, Unknown: 6, I-CD: 1",Ambiguous.20,I-CD2
78,4,WP_190995843.1,IV-Non-photo,,IV-Non-photo.341,IV-NonPhoto
79,114,RUU92149.1,IV-Non-photo,,IV-Non-photo.596,IV-NonPhoto
80,273,ABS81505.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 239, Unknown: 34",I-Eukaryotes/Unknown.19,I-CD1
81,3,WP_102651751.1,IV-Non-photo,,IV-Non-photo.578,IV-NonPhoto
82,1,WP_071506798.1,IV-Non-photo,,IV-Non-photo.292,IV-NonPhoto
83,21,WP_061167361.1,IV-Non-photo,,IV-Non-photo.649,IV-NonPhoto
84,1,WP_146784811.1,IV-Non-photo,,IV-Non-photo.334,IV-NonPhoto
85,6,WP_194885832.1,IV-Non-photo,,IV-Non-photo.685,IV-NonPhoto
86,4,HGE30803.1,Unknown,,Unknown.139,III
87,1,HER54410.1,Unknown,,Unknown.172,III
88,50,BAJ40206.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 38, Unknown: 12",I-Eukaryotes/Unknown.188,I-CD1
89,30,AAS13410.1,I-Eukaryotes/Unknown,"I-Eukaryotes: 26, Unknown: 4",I-Eukaryotes/Unknown.182,I-CD2
